,住址,物件說明,面積,房,衛,廳,物件類型,樓層,租金
0,台中市西屯區精誠路,✓全新一層兩戶✓陽台獨洗+流理臺✓室內機車位✓,13.6坪,1,1,,獨立套房/透天厝,3樓/5樓,"11,999元"
1,台中市西屯區國安二路,百萬裝潢飯店套房⭐車位可租⭐可租補戶籍⭐1月中可住,14.23坪,1,1,,獨立套房/電梯大廈,7樓/9樓,"14,499元"
2,台中市西屯區福星路,時尚裝潢⭐陽台獨曬⭐有電梯⭐逢甲僑光,9坪,1,1,,獨立套房/電梯大廈,4樓/9樓,"6,499元"
3,台中市西屯區文華路正煌巷,文華路✨獨洗陽台✨可無聲寵物✨台水電✨子母車,13坪,1,1,,獨立套房/電梯大廈,6樓/8樓,"8,999元"
4,台中市西屯區文華路正煌巷,秒殺台水電可寵✅近逢甲電梯✅陽台獨洗✅,12坪,-,,,獨立套房/電梯大廈,6樓/8樓,"8,999元"
5,台中市西屯區文華路正煌巷,絕對秒殺✨陽台獨洗✨台水台電✨電梯管理員,14坪,1,1,,獨立套房/電梯大廈,6樓/8樓,"8,999元"
6,台中市西屯區中清西二街,絕美系統裝潢✨類一房一廳✨陽台獨洗✨超好停車,18坪,1,1,1,獨立套房/透天厝,3樓/5樓,"12,999元"
7,台中市西屯區順和三街,西屯區⚡秒殺一房一廳⚡有小廚房⚡陽台獨洗,18坪,1,1,1,整層住家/透天厝,5樓/8樓,"16,000元"
8,台中市西屯區國安一路,西屯區⚡世紀凱悅⚡秒殺一房一廳⚡含平面車位,18坪,1,1,1,整層住家/電梯大廈,5樓/15樓,"16,000元"
9,台中市西屯區國安一路,全新高級兩房⭐可家庭租補戶籍⭐流理臺⭐洗脫烘洗衣機,22.65坪,2,2,2,整層住家/電梯大廈,6樓/9樓,"25,000元"
10,台中市西屯區國安一路,全新高級套房⭐科技園區⭐乾濕分離⭐流理台⭐陽台獨洗,15.37坪,-,,,獨立套房/電梯大廈,6樓/9樓,"14,500元"
11,台中市西屯區大有東街,近勤美免爬高✅陽台獨洗✅流理臺✅只想跟妳住✅,12坪,-,,,獨立套房/公寓,2樓/5樓,"11,999元"
12,台中市西屯區西屯路二段上石北二巷,⭐電梯管理員❤️陽台獨洗❤️可貓貓,16坪,1,1,,獨立套房/電梯大廈,3樓/10樓,"12,999元"
13,台中市西屯區西屯路二段上石北二巷,⭐市政府逢甲⭐電梯管理員⭐子母車⭐可貓⭐陽台獨洗,16坪,1,1,1,獨立套房/華廈,3樓/9樓,"12,999元"
14,台中市西屯區太原路一段,全新整理❤電梯系統裝潢~採光佳~子母車/生活機能優,15坪,1,1,1,獨立套房/華廈,5樓/8樓,"13,499元"
